,category,system,instruction,context,question,response
88,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,SIM card kasari activate garne?,"SIM card phone ma halera customer care ma call garne, required details dinu parcha."
89,summary,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

",Summarize the following text in Roman Nepali,,Kathmandu ko ek purano dhunge dhara ma manchhe haru bhetera purano samay ko kura garthyo. Tyasle sanskriti ko mahatwa sabailai smaran garayo.,Kathmandu dhunge dhara le sanskritiko mahatwa smaran garayo.
90,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.","aalu, tama, golbhenda, AC","Tala vayeka words haru madhye kun odd word ho valid reason sahit vannuhos.
","AC khane kura hoina, aru tinwota khane kura hun."
91,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali Language language.,,"The aroma of freshly baked bread filled the kitchen, making everyone hungry.","Naya taaja roti pakda ko sugandha kitchen ma failyo, sabai lai bhok lagna thalyo."
92,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Timi le chai yo file review garna time lagayou?,Did you take the time to review this file?
93,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Refund process suru hunalai order cancel gareko hunuparcha. Cancelation confirm bhaepachi, refund process start hunchha, jasle karan bank transfer ko lagi 5-7 kaam din lagna sakchha. Credit card refund alik chitto huncha. Gift card ko balance redeem garna checkout page ma 'Apply Gift Card' option select garnuhos.",Refund process ko barema thaha dinuhos.,"Refund process suru hunalai order cancel garnu parcha. Cancelation confirm bhayepachi, bank transfer ko lagi 5-7 kaam din lagna sakchha."
94,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Computer Science bhaneko k ho bhanera lekh.,"Computer Science bhaneko computer ko system, programming, ra technology ko bare ma study garne subject ho. Aba coding gare pani computer le ramailo kaam garcha."
95,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.","Product: LG Refrigerator 260L
Return Policy: Customers can return the product within 10 days of delivery if the item is defective, damaged, or not as described. The customer must contact customer support via email or call. The product should be unused, in its original packaging, and include all accessories. Pickup will be arranged within 3 business days of initiating the return request. Refunds will be processed within 7 days after the returned item passes quality checks.",Kasari yo product return garna sakincha?,"LG Refrigerator return garna, delivery pachi 10 din vitra customer support ma email ya call garnu parcha. Product original packaging ma hunu parcha, sabai accessories samet. Pickup 3 business days vitra arrange garincha, ra refund 7 din vitra quality check pachi process huncha."
96,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Urbanization in Nepal has led to improved infrastructure in cities but has also caused challenges like pollution, overpopulation, and loss of green spaces.",Nepal ma urbanization ko impact ko barema bataunus.,"Nepal ma urbanization le cities ma infrastructure improve gareko cha, tara pollution, overpopulation, ra green spaces ko loss jasta challenges pani lyako cha."
97,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Product: LG Dishwasher, Price: Rs. 89,999, Features: 14 Place Settings, Inverter Technology.",LG Dishwasher ma place settings kati ho?,LG Dishwasher ma 14 place settings cha.
98,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepali balbalika ma ethical values sikhna ko lagi ek karyakram ko naam ra usko laabh lekhnu.,"Moral Science Workshop ek karyakram ho, jasle balbalika ma ramro charitra ko nirman garcha."
99,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Maile chai presentation ko slides finalize gare.,I finalized the slides for the presentation.
100,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ko ek prasiddha sthal Swayambhunath ho, jo Kathmandu ma sthit cha. Swayambhunath, jo monkeys temple ko rup ma pani janincha, ek dharmik aur sanskritik sthal ho. Swayambhunath le Nepal ko buddhist dharm ko gyan aur prashikshan ko pradarshan garincha.",Nepal ko ek prasiddha sthal k ho?,"Swayambhunath, Nepal ko ek prasiddha sthal ho, jo Kathmandu ma sthit cha aur buddhist dharm ko gyan ko pradarshan garincha."
101,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepal ma katijana Pradesh chhan?,Nepal ma 7 jana Pradesh chhan.
102,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Biratnagar, eastern Nepal ko ek industrial hub ho ra, yo ko location Koshi River ko kinara ma cha. Biratnagar ko geographical location Nepal-India border ko najik cha, ra yaha ko textile industries ra trade hubs ko karan yaha ko economy dherai strong cha.",Biratnagar kahaan cha?,"Biratnagar eastern Nepal ma cha, ra Koshi River ko kinara ma located cha."
103,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ko sabai bhanda dherai paryatak haru aune sthal Chitwan National Park ho, jo Nepal ko rhino, tiger, ra elephant ko ghar ho. Chitwan National Park, UNESCO World Heritage Site ho, jaha wildlife safaris, bird watching, aur prakritik safar garincha. Chitwan ko jungali jivan aur prakritik drishya le paryatak haru ko akarshan badhako cha.",Nepal ko sabai bhanda dherai paryatak haru aune sthal k ho?,"Chitwan National Park, Nepal ko sabai bhanda dherai paryatak haru aune sthal ho, jaha wildlife safaris, bird watching, ra prakritik safar garincha."
104,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Timro support le ta maile yo kaam gareko.,I did this work because of your support.
105,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Manche ko raat ma herne power lai k bhancha?,Night vision.
106,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Tesla ko Autopilot system le over-the-air software updates ko through improvements garcha. Abaadi new features, safety improvements, ra bug fixes automatically update garincha.",Tesla ko Autopilot update kasari hunchha?,Tesla ko Autopilot software updates le automatically improvements garincha.
107,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Tapai lai chai ke kurama doubt cha?,What are you doubtful about?
108,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ko ek prasiddha ancient city Patan ho, jo Kathmandu Valley ma sthit cha. Patan, dharmik aur cultural importance ko liye prasiddha cha, ra yahaan ko Durbar Square UNESCO World Heritage Site ho.",Nepal ko ek prasiddha ancient city k ho?,"Patan, Nepal ko ek prasiddha ancient city ho."
109,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,5 ko 8 bata guna garne ho bhane kati milcha?,5 ko 8 bata guna garne ho bhane 40 milcha.
110,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Pahilo man-made satellite ko naam k ho?,Sputnik 1.
111,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Timi afno balpan ko ek smaran bare ek chhoto katha lekh.,"Ma sano bela ek din mero saathi haru sangai khelnu jada, ek patak bagcha ma ramailo gareko smaran cha. Hamle khelna ko lagi dherai rukh haru chadnu ra guliyo fal khanu, ekdam khushi bhayeko thiyo."
112,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepal ma kati pradesh haru chhan?,7 pradesh haru
113,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu",Nepal ma chhati prakar ko festival sabse badha bhavati cha. Tihar thik cha while Dashain lokajoya for important holidays choosincha.,Nepal ma chhati prakar k ho?,Dashain
114,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepali khadya samskriti ko ek udaharan ra tyo dish ko mahatwa lekhnu.,"Dal Bhat Tarkari Nepali khadya samskriti ko ek mahatwapurna dish ho, jun dinbhar ko urja ko mukhya srot ho."
115,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,uslai sodhnu parcha hola,You might need to ask them.
116,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu",Nepal ko national bird Danphe ho. Yo chara usko rangichangi punkhaharuko lagi prasiddha chha.,Nepal ko national bird kun ho?,Nepal ko national bird Danphe ho.
