category,instruction,context,question,response
open_qa,You are a helpful assistant. Answer the given user question.,NEA ko online portal bata.,Nepal ma online electricity complaint file kasari garna sakincha?,"NEA website ma login garnus, complaint section kholnus, ani issue describe garera submit garnus."
RAG,Answer the following question by looking at the context if context is given.,"Product ko price herna product ko page ma 'Price' section hernu hos. Tyaha tapai le product ko original price, discounted price, ra additional offers herna sakchha.",Store ma product haru ko price kasari herna sakincha?,Product ko page ma 'Price' section hernu hos. Original price ra discounted price hunchha.
translate,Translate the text below from English to Nepali:, ,I am a teacher.,Ma euta shikshak hu.
open_qa,You are a helpful assistant. Answer the given user question.,Cache files delete garne tarika batainus.,Tapai kasari Android phone ma storage clean garna saknuhuncha?,"Settings ma janus, Storage section kholnus, ani cache files clear garnus."
translate,Translate the text below from English to Nepali:, ,Culture encourages art and creativity in life.,Culture le manushya ko life ma art ra creativity lai encourage garcha.
RAG,Answer the following question by looking at the context if context is given.,"Product available: Canon EOS 200D, Price: Rs. 65000. Nikon D3500, Price: Rs. 60000. Sony Alpha 7C, Price: Rs. 180000.",Sony Alpha 7C ko price kati ho?,Sony Alpha 7C ko price Rs. 180000 ho.
translate,Translate the text below from English to Nepali:, ,The role of technology in disaster management is to improve response times and save lives.,Prakritik prakop prabandhan ma prabidhiko bhumika pratiksha samay sudharna ra jyan bachana ho.
RAG,Answer the following question by looking at the context if context is given.,Payment History: Available in your account dashboard. Usage Tip: Log in to your account to view payment history.,Payment garna ko lagi payment history kasari hernu?,"Hajur, tapailo account dashboard bata payment history herna sakincha. Account ma login garnuhos."
open_qa,You are a helpful assistant. Answer the given user question., ,Yo bot kasari madat garcha?,Ma tapai ko shopping easy banauna help garchhu! Aba ke khojna chahanuhuncha?
translate,Translate the text below from English to Nepali:, ,Today my laptop battery drains very quickly. I need to buy a new one.,Aaja mero laptop ko battery ekdamai chito sakincha. Naya kinna parne bhaeko cha.
open_qa,You are a helpful assistant. Answer the given user question.,,Career planning kasari suru garne?,Career planning suru garna sabai bhanda pahila interest ani strength ko analysis garne. Related fields ko research garera opportunities explore garne. Skills ani education ko gap fill garna courses enroll garne. Networking garera professional connections build garne. Long-term goals set garera short-term milestones achieve garna focus garne.
translate,"Translate the given text from Roman Nepali language to English language.
",,"tesai online browsing garna basda, dherai ramro ramro website ko information paaye.","While randomly browsing online, I came across a lot of good websites with useful information."
RAG,Answer the following question by looking at the context if context is given.,eSewa wallet ma QR code scan garera cash payment ko option support huncha. Wallet ma balance cha bhane payment instantly confirm huncha.,QR code le esewa ma cash payment support garcha?,"Hajur, QR code le cash payment support garcha."
RAG,Answer the following question by looking at the context if context is given.,"Accepted Payment Methods: Credit/Debit Card, Esewa, Khalti, Cash on Delivery.",Payment garna ko lagi payment retry limit cha?,"Hajur, payment retry ko limit 3 attempts ho. 3 choti fail bhayo bhane arko payment method use garnuhos."
RAG,Answer the following question by looking at the context if context is given.,"SmartTech Nepal, Dharan-7, Koshi Chowk ma smartwatches, tablets, ra smartphones available chha. Store ko khas suvidha ho ki sabai saman free setup service sangai dincha. Delivery Koshi Pradesh ma free chha, ra sabai saman ko warranty 1 barsha samma cover huncha. Return request approve bhaye pachi refund 3 din ma process garincha. Payment options cash on delivery, eSewa, Khalti, ra QR code scan bata available chha.",Payment QR code scan bata garna milcha?,"Ho, QR code scan bata payment garna milcha."
RAG,Answer the following question by looking at the context if context is given.,"Biratnagar Electronics Hub, Main Road ma delivery free chha Biratnagar vitra.",Tapai ko ma Sony ka headphones chha?,Hamro store ma Sony WH-1000XM4 ra Sony WF-1000XM4 headphones available chhan.
RAG,Answer the following question by looking at the context if context is given.,"Redmi Note 9 Pro (Price: 12000) ma 6.5-inch display, gorilla glass protection, 128 GB storage, ra 48 MP camera cha. Yo phone budget-friendly option ho.",Redmi Note 9 Pro ko display size kati ho?,Redmi Note 9 Pro ko display size 6.5-inch ho.
translate,Translate the text below from English to Nepali:, ,"Today I went to my favorite restaurant and ate momo; it was so delicious. I really love jhol momo, the spicy and juicy ones. Ahh, I can’t get enough of it.","Aajai maile mero favorite restaurant ma gayera momo khako xu, dherai mitho thyo. Malai ta jhole momo dherai man parxa, spicy ra juicy vayeko. Ahh, I can’t get enough of it."
RAG,Answer the following question by looking at the context if context is given.,"Hamro Pasal le gaming console ko complete range provide garcha, jaha PlayStation 5, Xbox Series X, ra Nintendo Switch Lite jaise console haru available chha. Sabai console haru ko accessories, jaise extra controller, charging dock, ra VR headset pani upalabdha chha. Gaming console haru ko specification jaise storage capacity, resolution support (4K, 8K), ra compatibility ko information hamro website ma clearly mentioned chha. Delivery Kathmandu ma free huncha ra upatyaka bahira Rs. 200 charge lagcha.",PlayStation 5 ma kati storage option available chha?,PlayStation 5 ma 825GB SSD storage option available chha.
RAG,Answer the following question by looking at the context if context is given.,"Product List: Redmi Note 9 Pro, Price: Rs. 20000. Samsung Galaxy, Price: Rs. 60000. iPhone, Price: Rs. 100000. Calculator, Price: Rs. 500. Sony TV, Price: Rs. 40000.",Redmi Note 10 available cha ki xaina?,Hami sanga Redmi Note 10 available xaina.
translate,Translate the text below from English to Nepali:, ,"Yes, I speak a little.","Ho, ma ali ali bolchhu."
open_qa,You are a helpful assistant. Answer the given user question., ,Timi kunai human ho?,"Ma ek AI assistant ho, tarah pani ma tapai lai shopping easy banauna sakchhu!"
translate,"Translate the given text from English language to Roman Nepali Language language.
",,"They spent the evening binge-watching their favorite series, surrounded by snacks and cozy blankets.","Uniharu sanjha afno manparcha series binge watch gardai, khaja ra ramailo blanket le gheriyera."
open_qa,You are a helpful assistant. Answer the given user question.,,Nepal ma shopping garne bela price comparison kasari garne?,"Price comparison garna, online shopping sites ya local stores bata products compare garne."
RAG,Answer the following question by looking at the context if context is given.,"Product Name: Smartwatch Orbit, Warranty: 2 years manufacturer warranty. Extended Warranty: Available for NPR 2,500. Competitor Warranty: 1 year at Store Z. Usage Tip: Register warranty online for faster claims. Delivery Time: 2-3 days in Kathmandu.",Smartwatch Orbit ko warranty kati din ko cha?,"Hajur, Smartwatch Orbit ko warranty 2 years ko cha. Extended warranty NPR 2,500 tirera garna sakincha."
translate,"Translate the given text from Roman Nepali language to English language.
",,Hamro team ko focus ta user feedback analyze garna ma cha.,Our teamâ€™s focus is on analyzing user feedback.
open_qa,You are a helpful assistant. Answer the given user question.,,Online class ko link kasari join garne?,Teacher le pathaunu bhako link kholera Zoom ya Google Meet ma join garne.
RAG,Answer the following question by looking at the context if context is given.,"Nepal ko Everest Base Camp trek, Annapurna Circuit, ra Langtang trek mountain enthusiasts ko lagi famous destinations haru hun. Everest Base Camp trek Sagarmatha National Park ko andar cha, jaha trekkers le worldâ€™s highest mountain ko nazara dekhna sakchhan. Annapurna Circuit Pokhara bata start garera Mustang samma puryaunchha.",Everest Base Camp kahaan cha?,"Everest Base Camp Sagarmatha National Park, Solukhumbu district ma cha, jaha worldâ€™s highest mountain Mount Everest cha."
RAG,Answer the following question by looking at the context if context is given.,"Clothing platform ma men's, women's, ra kids wear ka sabai items trending designs ma available cha. Size guide product page ma provided huncha, ra sabai orders ma free return policy 7 din samma applicable cha. Delivery time 5-8 din ko range ma vary garcha.",Size guide herera thik size choose garna kasari garna sakchhu?,"Size guide product page ma 'Size Chart' click garera herna sakchhu, ra measurements le compare garna milcha."
translate,Translate the text below from Nepali to English:, ,"AI le technology sanga interact gariraheko tarika lai transform gariraheko chha. Siri ra Alexa jasta voice assistants le AI use garchhan user commands lai bujhera respond garna, jasle everyday tasks lai easier ra convenient banauunchha.","AI is transforming the way we interact with technology. Voice assistants like Siri and Alexa use AI to understand and respond to user commands, making everyday tasks easier and more convenient."
translate,Translate the text below from English to Nepali:, ,Technology transforms daily life.,Technology le manushya ko daily life lai transform garcha.
translate,"Translate the given text from English language to Roman Nepali Language language.
",,"Hello, how are you?","Namaste, tapaai kasto cha?"
translate,Translate the text below from Nepali to English:, ,Koi samasya chaina.,No problem.
translate,"Translate the given text from English language to Roman Nepali language.
",,"The long journey through the winding roads of the mountains was both thrilling and exhausting, with breathtaking views of cascading waterfalls and dense forests lining the path.","Lamo yatra ma ghumau ta ghumau raheko pahad ko bato le romanchak ra thakne anubhav diyo, jahaan ramro jharna haru ra ghanaghat jungle bato bharieko thiyo."
open_qa,You are a helpful assistant. Answer the given user question.,,Timi ghar ko garden ma plants ko care kasari garne?,"Garden ma plants ko care garne, regular water dina, timely pruning garne ani soil fertilize garne."
open_qa,You are a helpful assistant. Answer the given user question.,,Manche le saas lina k chahinchha?,Oxygen.
translate,Translate the text below from English to Nepali:, ,Nature brings inspiration and creativity to life.,Nature le manushya ko life ma inspiration ra creativity dincha.
open_qa,You are a helpful assistant. Answer the given user question.,Rato,Tapai ko manparcha color ke ho bhanera bujnuhos.,Mero manparcha rang rato ho.
translate,"Translate the given text from Roman Nepali language to English language.
",,Timro support le ta maile yo kaam gareko.,I did this work because of your support.
RAG,Answer the following question by looking at the context if context is given.,"TechTrends, Dharan-5, Bhanu Chowk ma electronics store chha. Dharan ma sabai ward haru bhitra delivery free chha. Itahari, Inaruwa, ra Duhabi samma delivery charge lagcha. Express delivery ko lagi saman dispatch 24 ghanta bhitra huncha, tara surcharge lagna sakcha.",Dharan Upatyaka ma delivery charge lagcha?,"Dharan Upatyaka ma delivery charge lagdaina. Tar, Itahari, Inaruwa, ra Duhabi samma delivery charge lagcha."
